Sector_score,PARA_A,PARA_B,TOTAL,numbers,Money_Value,District,Loss,History,Risk
3.89,4.18,2.5,6.68,5,3.38,2,0,0,1
3.89,0,4.83,4.83,5,0.94,2,0,0,0
3.89,0.51,0.23,0.74,5,0,2,0,0,0
3.89,0,10.8,10.8,6,11.75,2,0,0,1
3.89,0,0.08,0.08,5,0,2,0,0,0
3.89,0,0.83,0.83,5,2.95,2,0,0,0
3.89,1.1,7.41,8.51,5,44.95,2,0,0,1
3.89,8.5,12.03,20.53,5.5,7.79,2,0,0,1
3.89,8.4,11.05,19.45,5.5,7.34,2,0,0,1
3.89,3.98,0.99,4.97,5,1.93,2,0,0,1
3.89,5.43,10.77,16.2,5,4.42,2,0,0,1
3.89,15.38,40.14,55.52,5,0.96,2,1,1,1
3.89,5.47,7.63,13.1,5,10.43,2,0,1,1
3.89,1.09,0.35,1.44,5,0,2,0,0,1
3.89,0,0.84,0.84,5,0.007,2,0,0,0
3.89,1.95,9.01,10.96,5,9,2,0,0,1
3.89,8.54,31.63,40.17,5,41.28,2,0,1,1
3.89,4.18,4.83,9.01,5.5,14.03,2,0,0,1
3.89,1.81,1.03,2.84,5,0,2,0,0,1
3.89,4.86,46.78,51.64,5.5,63.18,2,0,0,1
3.89,6.26,14.1,20.36,5,34.24,2,0,1,1
3.89,0.02,5.94,5.96,5,0.01,2,0,0,1
3.89,5.31,22.79,28.1,5,205.19,2,0,1,1
3.89,0.94,0.01,0.95,5,0.1,2,0,0,0
3.89,5.78,57.92,63.7,5,11.16,2,0,0,1
3.89,7.42,2.24,9.66,5,1.25,2,0,0,1
3.89,0,1.1,1.1,5,0.007,2,0,0,0
3.89,6.85,31.76,38.61,5,1.46,2,0,0,1
3.89,0,1.03,1.03,5,0,2,0,0,0
3.89,0,0.75,0.75,5,6.78,2,0,0,1
3.89,2.4,16.63,19.03,5,1.16,2,0,0,1
3.89,0,0.05,0.05,5,152.41,2,0,0,1
3.89,0,1.76,1.76,5,1.08,2,0,0,0
3.89,0,2.97,2.97,5,2.84,2,0,0,0
3.89,0,0.43,0.43,5,0,2,0,0,0
3.89,0,0.94,0.94,5,0.9,2,0,0,0
3.89,9.01,19.82,28.83,5,9.67,2,0,0,1
3.89,0,0.05,0.05,5,0,2,0,0,0
3.89,11.95,30.9,42.85,5,32.68,2,0,0,1
3.89,7.97,17.18,25.15,5,935.03,2,0,0,1
3.89,0,3.71,3.71,5,29.63,2,0,0,1
3.89,0.62,2.02,2.64,5,0.11,2,0,0,0
3.89,0,2.27,2.27,5,2.62,2,0,0,0
3.89,0,0,0,5,0,2,0,0,0
3.89,1.32,0,1.32,5,0.06,2,0,0,1
3.89,0,1.03,1.03,5,2.43,2,0,0,0
3.89,0,15.38,15.38,5,126.13,2,0,0,1
3.89,0,1.02,1.02,5,0,2,0,0,0
3.89,0,20.71,20.71,5,20.79,2,0,2,1
3.89,2.95,6.56,9.51,5,156.92,2,0,0,1
3.89,1.97,2.1,4.07,5,12.29,2,2,0,1
3.89,0,18.05,18.05,5,2.29,2,0,0,1
3.89,0,0.93,0.93,5,7.78,2,0,0,1
3.89,0,1.61,1.61,5,2.51,2,0,0,0
3.89,6.32,9.01,15.33,5,8.31,2,0,0,1
3.89,0,1.05,1.05,5,0.16,2,0,0,0
3.89,0,6.8,6.8,5,47.9,2,0,0,1
3.89,14.04,10.83,24.87,5,8.91,2,0,0,1
3.89,6.67,18.02,24.69,5.5,4.95,2,0,2,1
3.89,0,0,0,5,1.75,2,0,0,0
3.89,0,0.08,0.08,5,0.68,2,0,0,0
3.89,1.26,0.05,1.31,5,0,2,0,0,1
3.89,0,0.03,0.03,5,0.06,2,0,0,0
3.89,0,0.79,0.79,5,15.82,2,0,0,1
3.89,4.76,13.03,17.79,5,0.58,2,0,1,1
3.89,8.81,9.02,17.83,5,215.31,2,0,1,1
3.89,0,0.07,0.07,5,0,2,0,0,0
3.89,13.92,2.2,16.12,5,0.05,2,0,0,1
3.89,1.07,0,1.07,5,0,2,0,0,1
3.89,0,0.89,0.89,5,0,2,0,0,0
3.89,0,3.98,3.98,6,53.34,2,0,0,1
3.89,10,74.26,84.26,5.5,11.16,2,0,3,1
3.89,4.24,8.06,12.3,5,10.69,2,0,0,1
3.89,12.27,72.46,84.73,5,5.69,2,0,0,1
3.89,0,0.96,0.96,5,1.35,2,0,0,0
3.89,12.7,1.28,13.98,5,11.69,2,0,0,1
3.89,0,63.13,63.13,5,14.6,2,0,1,1
3.89,1.99,10.24,12.23,5,20.78,2,0,0,1
3.89,0.05,0.21,0.26,5.5,102.22,2,0,0,1
3.89,0,7.37,7.37,5,0.74,2,0,0,1
3.89,0,3.72,3.72,5,0,2,0,9,1
3.89,71.48,25.63,97.11,5,873.37,2,0,0,1
3.89,0,0,0,5,0,2,0,0,0
3.89,0.74,1,1.74,5,0,2,0,0,0
3.89,0,0.58,0.58,5,0,2,0,0,0
3.89,8.46,72.76,81.22,5,1.4,2,1,2,1
3.89,0.42,0.07,0.49,5,0.42,2,0,0,0
3.89,0.01,1.29,1.3,5.5,36.52,4,0,0,1
3.89,6.85,65.93,72.78,5.5,6.02,4,0,0,1
3.89,5.37,8.62,13.99,5,17.16,4,0,0,1
3.89,4.93,6.54,11.47,5.5,12.91,4,0,0,1
3.89,1.22,0.06,1.28,5,0,4,0,0,1
3.89,0,0.85,0.85,5,0,4,0,0,1
3.89,15.72,57.94,73.66,6,10.79,6,0,0,1
3.89,4.95,42.61,47.56,5,3.46,6,0,1,1
3.89,0,0.08,0.08,5,0.06,6,0,0,1
3.89,1.19,12.88,14.07,5,2.33,6,0,0,1
3.89,0,2.72,2.72,5,5.58,6,0,0,1
